match_id,season,gameweek,status,home_team,away_team,home_elo,away_elo,elo_diff,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
105,2000/01,,finished,as-monaco,fc-nantes,1550.4,1467.9,82.5,1.6,1.6,1.4,1.6,1.4,73.63,257100000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,A
106,2000/01,,finished,fc-metz,aj-auxerre,1469.3,1493.5,-24.200000000000045,0.0,0.0,0.0,0.0,0.0,67.29,41450000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,A
107,2000/01,,finished,stade-rennais,paris-saint-germain,1481.5,1532.7,-51.200000000000045,2.4,2.6,1.8,2.6,1.8,73.39,253175000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,D
108,2000/01,,finished,rc-strasbourg,losc-lille,1489.7,1502.4,-12.700000000000045,1.4,1.4,1.6,1.4,1.6,69.0,72100000,0.0,0.0,0.0,0.0,0.0,72.18,86050000,,,,A
109,2000/01,,finished,losc-lille,stade-rennais,1517.8,1483.9,33.899999999999864,0.0,0.0,0.0,0.0,0.0,72.18,86050000,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,H
110,2000/01,,finished,olympique-lyonnais,fc-metz,1544.4,1454.4,90.0,2.0,2.0,1.4,2.0,1.4,72.74,89500000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,D
111,2000/01,,finished,rc-strasbourg,as-monaco,1474.3,1530.7,-56.40000000000009,1.4,1.4,1.6,1.4,1.6,69.0,72100000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,A
112,2000/01,,finished,olympique-de-marseille,rc-lens,1468.0,1529.9,-61.90000000000009,0.8,0.8,1.6,0.8,1.6,73.85,58850000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,D
113,2000/01,,finished,rc-lens,toulouse-fc,1527.1,1500.0,27.09999999999991,1.6,1.6,1.6,1.6,1.6,72.84,82750000,1.4,1.6,2.2,1.6,2.2,68.76,60900000,,,,H
114,2000/01,,finished,fc-metz,paris-saint-germain,1458.4,1530.4,-72.0,0.0,0.0,0.0,0.0,0.0,67.29,41450000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,H
115,2000/01,,finished,fc-nantes,olympique-de-marseille,1487.6,1470.8,16.799999999999955,0.8,1.0,1.4,1.0,1.4,69.58,54600000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,H
116,2000/01,,finished,stade-rennais,rc-strasbourg,1469.4,1460.9,8.5,2.4,2.6,1.8,2.6,1.8,73.39,253175000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
117,2000/01,,finished,losc-lille,fc-metz,1532.3,1477.7,54.59999999999991,0.0,0.0,0.0,0.0,0.0,72.18,86050000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,H
118,2000/01,,finished,stade-rennais,as-monaco,1485.0,1544.1,-59.09999999999991,2.4,2.6,1.8,2.6,1.8,73.39,253175000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,D
119,2000/01,,finished,toulouse-fc,fc-nantes,1485.2,1502.9,-17.700000000000045,1.4,1.6,2.2,1.6,2.2,68.76,60900000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,D
120,2000/01,,finished,as-monaco,olympique-de-marseille,1541.4,1455.6,85.80000000000018,1.6,1.6,1.4,1.6,1.4,73.63,257100000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,A
121,2000/01,,finished,rc-lens,aj-auxerre,1541.9,1508.4,33.5,1.6,1.6,1.6,1.6,1.6,72.84,82750000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,H
122,2000/01,,finished,fc-metz,rc-strasbourg,1464.2,1445.3,18.90000000000009,0.0,0.0,0.0,0.0,0.0,67.29,41450000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
123,2000/01,,finished,aj-auxerre,fc-nantes,1493.9,1502.0,-8.099999999999909,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,D
